,Run,Mean Effort,Annual Tonnes,25%reduction,50% reduction,90% reduction,,,,,
1,1,174.5547102,0,130.9160326,87.27735509,17.45547102,,,,,
2,2,169.3064244,1,130.9160326,87.27735509,17.45547102,,,,,
3,3,164.2029871,2,130.9160326,87.27735509,17.45547102,,,,,
4,4,159.2427189,3,130.9160326,87.27735509,17.45547102,,,,,
5,5,154.4238691,4,130.9160326,87.27735509,17.45547102,,,,,
6,6,149.7446173,5,130.9160326,87.27735509,17.45547102,,,,,
7,7,145.2030747,6,130.9160326,87.27735509,17.45547102,,,,,
8,8,140.7972859,7,130.9160326,87.27735509,17.45547102,,,,,
9,9,136.5252307,8,130.9160326,87.27735509,17.45547102,,,,,
10,10,132.3848263,9,130.9160326,87.27735509,17.45547102,,,,,
11,11,128.3739292,10,130.9160326,87.27735509,17.45547102,,,,,
12,12,124.4903752,11,130.9160326,87.27735509,17.45547102,,,,,
13,13,120.7382554,12,130.9160326,87.27735509,17.45547102,,,,,
14,14,117.330606,13,130.9160326,87.27735509,17.45547102,,,,,
15,15,115.3604967,14,130.9160326,87.27735509,17.45547102,,,,,
16,16,114.931645,15,130.9160326,87.27735509,17.45547102,,,,,
17,17,114.9117696,16,130.9160326,87.27735509,17.45547102,,,,,
18,18,114.9117696,17,130.9160326,87.27735509,17.45547102,,,,,
19,19,114.9117696,18,130.9160326,87.27735509,17.45547102,,,,,
20,20,114.9117696,19,130.9160326,87.27735509,17.45547102,,,,,
21,21,114.9117696,20,130.9160326,87.27735509,17.45547102,,,,,
,,,,,,,,,EOF,x,y
,,,,,,,,,,2.4,162.65
,Total effort reduction,11.90471017,,,,,,,,,
,,,,,,,,,,,
,% Change,7%,,,,,,,,,
