"","Year","Age","Result","Variable","Group","Run","Scenario","Estimate"
"1",1,1,474030.438424424,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"2",2,1,453858.765977675,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"3",3,1,409902.610849401,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"4",4,1,432412.42108723,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"5",5,1,455913.287807521,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"6",6,1,472863.410973211,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"7",7,1,487657.228483103,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"8",8,1,503092.033124321,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"9",9,1,517697.102341993,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"10",10,1,530587.130335103,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"11",1,2,257527.657731148,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"12",2,2,171030.180054121,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"13",3,2,163752.240522068,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"14",4,2,147892.85978527,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"15",5,2,156014.399282492,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"16",6,2,164493.511668544,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"17",7,2,170609.115793969,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"18",8,2,175946.725169451,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"19",9,2,181515.602700795,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"20",10,2,186785.111368166,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"21",1,3,162988.524575848,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"22",2,3,92915.9524350179,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"23",3,3,61707.6696230417,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"24",4,3,59081.7881832657,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"25",5,3,53359.7262327005,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"26",6,3,56289.9751159417,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"27",7,3,59349.2360415244,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"28",8,3,61555.7460221544,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"29",9,3,63481.5556273567,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"30",10,3,65490.8041243203,"Numbers","Machorro",1,"w/ Aquaculture","Central"
"31",1,4,62564.2340423045,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"32",2,4,58806.0301601388,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"33",3,4,33523.9317184225,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"34",4,4,22264.0229496507,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"35",5,4,21316.6129913298,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"36",6,4,19252.0948498064,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"37",7,4,20309.3153625905,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"38",8,4,21413.0949803281,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"39",9,4,22209.2038393267,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"40",10,4,22904.0239293377,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"41",1,5,82825.6498936471,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"42",2,5,58245.275329248,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"43",3,5,54746.3187667598,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"44",4,5,31209.4775963014,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"45",5,5,20726.9715815266,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"46",6,5,19844.8994196004,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"47",7,5,17922.8532847281,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"48",8,5,18907.1115544505,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"49",9,5,19934.7165883117,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"50",10,5,20675.7922374531,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"51",1,6,93894.8790061893,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"52",2,6,77094.0097161428,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"53",3,6,54213.4559897077,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"54",4,6,50955.6026895757,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"55",5,6,29048.7612118681,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"56",6,6,19291.570679874,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"57",7,6,18470.1762308789,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"58",8,6,16681.4548586627,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
