"","Run","Mean Effort","Annual Tonnes"
"1",1,174.554710172818,0
"2",2,169.306424384521,1
"3",3,164.202987119784,2
"4",4,159.242718914215,3
"5",5,154.423869126195,4
"6",6,149.74461730169,5
"7",7,145.203074683309,6
"8",8,140.797285880993,7
"9",9,136.525230719649,8
"10",10,132.38482627663,9
"11",11,128.373929159758,10
"12",12,124.490375163234,11
"13",13,120.738255434521,12
"14",14,117.330606046045,13
"15",15,115.360496657895,14
"16",16,114.931644981802,15
"17",17,114.911769612831,16
"18",18,114.911769612831,17
"19",19,114.911769612831,18
"20",20,114.911769612831,19
"21",21,114.911769612831,20
