,Run,Mean Price,Annual Tonnes,25% Reduction,50% Reduction,90% Reduction,,
1,1,6.154600617,0,4.615950463,3.077300308,0.615460062,,
2,2,5.776471795,1,4.615950463,3.077300308,0.615460062,,
3,3,5.397343386,2,4.615950463,3.077300308,0.615460062,,
4,4,5.017129186,3,4.615950463,3.077300308,0.615460062,,
5,5,4.635746761,4,4.615950463,3.077300308,0.615460062,,
6,6,4.253117663,5,4.615950463,3.077300308,0.615460062,,
7,7,3.869167627,6,4.615950463,3.077300308,0.615460062,,
8,8,3.483826755,7,4.615950463,3.077300308,0.615460062,,
9,9,3.097029665,8,4.615950463,3.077300308,0.615460062,,
10,10,2.708715625,9,4.615950463,3.077300308,0.615460062,,
11,11,2.318828665,10,4.615950463,3.077300308,0.615460062,,
12,12,1.927316869,11,4.615950463,3.077300308,0.615460062,,
13,13,1.533997442,12,4.615950463,3.077300308,0.615460062,,
14,14,1.146865232,13,4.615950463,3.077300308,0.615460062,,
15,15,0.856748428,14,4.615950463,3.077300308,0.615460062,,
16,16,0.7257541,15,4.615950463,3.077300308,0.615460062,,
17,17,0.705770577,16,4.615950463,3.077300308,0.615460062,,
18,18,0.705770577,17,4.615950463,3.077300308,0.615460062,,
19,19,0.705770577,18,4.615950463,3.077300308,0.615460062,,
20,20,0.705770577,19,4.615950463,3.077300308,0.615460062,,
21,21,0.705770577,20,4.615950463,3.077300308,0.615460062,,
,,,,,,,,
,,,,,,,,
,,Total price change,0.912513697,,,EOF,x,y
,,% change,14.83%,,,,2.4,5.24208692
