y,brat,frat,fnorm1,fnorm75,fnorm50
1925,1.000,0.001,0.000,0.000,0.000
1926,0.999,0.004,0.063,0.084,0.169
1927,0.995,0.006,0.112,0.149,0.299
1928,0.989,0.011,0.216,0.288,0.577
1929,0.978,0.003,0.036,0.048,0.095
1930,0.977,0.007,0.138,0.184,0.368
1931,0.972,0.004,0.062,0.083,0.167
1932,0.971,0.004,0.071,0.094,0.188
1933,0.970,0.004,0.063,0.084,0.168
1934,0.970,0.009,0.187,0.249,0.498
1935,0.964,0.017,0.355,0.473,0.946
1936,0.951,0.017,0.363,0.484,0.968
1937,0.939,0.018,0.381,0.508,1.015
1938,0.927,0.030,0.636,0.848,1.696
1939,0.905,0.026,0.554,0.739,1.478
1940,0.890,0.016,0.340,0.453,0.906
1941,0.886,0.021,0.433,0.578,1.156
1942,0.880,0.032,0.692,0.922,1.845
1943,0.864,0.030,0.634,0.845,1.690
1944,0.853,0.029,0.630,0.839,1.679
1945,0.843,0.025,0.533,0.711,1.421
1946,0.839,0.024,0.500,0.667,1.334
1947,0.837,0.016,0.330,0.440,0.879
1948,0.843,0.015,0.312,0.415,0.831
1949,0.839,0.014,0.297,0.396,0.792
1950,0.800,0.012,0.241,0.322,0.644
1951,0.746,0.011,0.227,0.303,0.605
1952,0.689,0.010,0.190,0.253,0.506
1953,0.636,0.010,0.209,0.278,0.556
1954,0.587,0.015,0.314,0.419,0.838
1955,0.541,0.013,0.267,0.356,0.713
1956,0.502,0.012,0.234,0.312,0.625
1957,0.470,0.008,0.157,0.209,0.419
1958,0.445,0.008,0.161,0.215,0.430
1959,0.424,0.011,0.221,0.295,0.590
1960,0.406,0.023,0.498,0.663,1.327
1961,0.385,0.024,0.513,0.684,1.369
1962,0.368,0.037,0.805,1.073,2.146
1963,0.348,0.037,0.791,1.055,2.111
1964,0.332,0.023,0.486,0.648,1.295
1965,0.323,0.032,0.696,0.928,1.856
1966,0.313,0.046,1.000,1.333,2.667
1967,0.300,0.035,0.761,1.014,2.029
1968,0.293,0.033,0.712,0.949,1.898
1969,0.287,0.021,0.445,0.593,1.186
1970,0.287,0.021,0.432,0.576,1.152
1971,0.287,0.009,0.181,0.241,0.482
1972,0.290,0.010,0.209,0.279,0.557
1973,0.293,0.006,0.116,0.155,0.310
1974,0.297,0.005,0.090,0.120,0.241
1975,0.301,0.002,0.033,0.043,0.087
1976,0.306,0.002,0.032,0.043,0.085
1977,0.310,0.002,0.031,0.042,0.084
1978,0.313,0.002,0.031,0.041,0.082
1979,0.316,0.002,0.030,0.040,0.081
1980,0.319,0.002,0.030,0.040,0.080
1981,0.321,0.002,0.030,0.040,0.079
1982,0.323,0.002,0.029,0.039,0.078
1983,0.325,0.002,0.029,0.039,0.078
1984,0.327,0.002,0.029,0.038,0.077
1985,0.328,0.002,0.029,0.038,0.076
1986,0.329,0.002,0.028,0.038,0.076
1987,0.331,0.002,0.028,0.038,0.075
1988,0.332,0.002,0.028,0.037,0.075
1989,0.333,0.002,0.028,0.037,0.074
1990,0.334,0.002,0.028,0.037,0.074
1991,0.335,0.002,0.028,0.037,0.074
1992,0.336,0.002,0.027,0.037,0.073
1993,0.337,0.002,0.027,0.036,0.073
1994,0.338,0.002,0.027,0.036,0.072
1995,0.340,0.002,0.027,0.036,0.072
1996,0.341,0.002,0.027,0.036,0.071
1997,0.343,0.002,0.026,0.035,0.070
1998,0.344,0.002,0.026,0.035,0.070
1999,0.346,0.002,0.026,0.034,0.069
2000,0.348,0.002,0.025,0.034,0.068
2001,0.351,0.002,0.025,0.033,0.067
2002,0.354,0.002,0.025,0.033,0.066
2003,0.357,0.002,0.024,0.032,0.065
2004,0.361,0.002,0.024,0.032,0.063
2005,0.364,0.002,0.023,0.031,0.063
2006,0.368,0.002,0.023,0.031,0.062
2007,0.370,0.002,0.023,0.031,0.062
2008,0.371,0.002,0.024,0.032,0.064
2009,0.369,0.002,0.025,0.033,0.066
2010,0.363,0.002,0.026,0.034,0.069
2011,0.354,0.002,0.027,0.036,0.072
2012,0.341,0.002,0.028,0.038,0.075
2013,0.329,0.005,0.091,0.122,0.243
2014,0.321,0.009,0.170,0.227,0.454
2015,0.314,0.015,0.305,0.407,0.814
2016,0.305,0.025,0.536,0.714,1.429
2017,0.294,0.043,0.933,1.244,2.487
